name,brand_name,price_of_the_bottle,mrp_of_the_bottle,rating,number_of_rating,size_of_the_bottle,key_ingredients,key_benifits,category
Wheezal WL58 Dengue Drop,Wheezal Homeo Pharma,171.0,175.0,0.0,0.0,30.0,,Helps in quick recovery in case of dengue attackHelps in relieving the symptoms of dengue disease,Fever
SBL Berberis Vulgaris Mother Tincture Q,SBL Pvt Ltd,92.4,105.0,4.6,909.0,30.0,Effective for kidney stones and pains associated with it,Useful in case of renal calculi or kidney stonesHelps to provide relief in case of constipation and diarrheaHelps to reduce inflammation and pain in the gallbladderHelps to counter arthritic painsFacilitates relief in skin-related illness,Digestion
Bhargava Spondin Drop,Bhargava Phytolab,166.0,185.0,4.6,1139.0,30.0,"Cuprum metallicium 6X, Ruta graveolens 3X, Dulcamera 3X, Conium maculatum 3X, Ledum palustre 2X, Hypericum perforatum 5X, Colocynthis vulgaris 3X","Useful in case of Cervical SpondylitisWorks to provide relief in case of neuralgia, chronic pain, joint pain, sharp back spasmHelps to reduce pain between shoulders, vertigo, and headache",Joint
Dr. Reckeweg R13 Hemorrhoidal Drop,Dr Reckeweg & Co,233.0,270.0,4.4,728.0,22.0,"Acidum nitricum, Aesculus, Collinsonia canadensis, Hamamelis, Kalium carbonicum, Graphaites, Lycopodium, Nux vom, Paeonia officinalis, Sulfur, Alcohol","Provides relief for flatulence, backachesRelieves from eczema and itchingAids in relieving burning of external hemorrhoids mucosa",Skin care
Medisynth Wartex Cream,Medisynth Chemicals Pvt Ltd,89.0,100.0,4.0,284.0,20.0,,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
Dr. Reckeweg R25 Prostatitis Drop,Dr Reckeweg & Co,232.0,270.0,4.5,609.0,22.0,"Chimaphila umbellata, Clematis, Conium, Ferrum picrinicum, Pareira brava, Populus tremul, Pulsatilla, Sabal serrulatum, Ethanol, Aqua, Alcohol",Relieves frequent and painful urinationImproves pain in the bladder and the urethraUseful for glairy and gravel in the urineEliminates intermittent urination and long waiting until emission,kidney
Dr. Reckeweg R73 Joint Pain Drop,Dr Reckeweg & Co,232.0,270.0,4.5,772.0,22.0,"Acidum sulfuricum, Argentum, Arnica, Bryonia, Causticum Hahnemann, Ledum, Alcohol",Provides relief in joint painHelps relieve rheumatic and arthritis painReduces joint inflammation and stiffness,Joint
SBL Stobal Cough Syrup,SBL Pvt Ltd,154.0,175.0,4.6,1445.0,180.0,It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract,"It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tractActs on dry coughs, irritation in the throat and coughs associated with bronchitis, and laryngitisIt reduces spasmodic irritation of the chestA homeopathy cough medicine that removes phlegm and relieves difficulty in swallowing",Throat care
LDD Bioscience Tone-Max Syrup,LDD Bioscience Pvt Ltd,182.0,200.0,0.0,0.0,180.0,,"Treats general debility, nervous exhaustion, impotence, and issues with dischargeHelps relieve pain due to an enlarged prostate, swollen and tender testicles, or in pelvic areasCan be useful as a restorative tonic in conditions of fatigue",Mental wellness
ADEL Diacard Gold Madaus Drop Homeopathic Medicine,Adel Pekana Germany,493.0,550.0,4.6,392.0,25.0,"Cactus grandiflorus.2X, Crataegus, Strophantus 4X, Camphora 2X, Aether, Sulfuricus. 1X, Aurum. Mur. Natr. 4X, Valeriana, Alcohol",Strengthens and tones the heart musclesReduces pulse acceleration and improves rhythm disturbancesStimulates the cardiovascular systemDilates the coronary arteries and improves circulation,ENT
Bakson Aller Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. Ltd.,440.0,500.0,4.5,655.0,200.0,"Bakson's Aller Aid Tablet helps relieve symptoms of allergies such as hay fever, hives, conjunctivitis and reactions to insect bites or stings","Aller Aid Tablets provide relief from hay feverNo side effects like drowsiness or disturbance in daily routineAller Aid Tablets are indicated for sinus congestionAller Aid tablets are helpful against runny nose, sneezing, watery eyesHelps relieve fever and body ache due to allergies",ENT
SBL Calcarea Fluorica Biochemic Tablet 6X,SBL Pvt Ltd,88.1,110.0,4.5,1303.0,25.0,It is primarily used for the management of varicose veins and various skin conditions,It helps manage varicose veins and other skin disordersIt relieves symptoms linked with joint pain and discomfortIt is also helpful in reducing the inflammation of thyroid glandsIt is helpful in the reduction of dental cavities and bleeding gums,Joint
Medisynth Pilen Forte Drop,Medisynth Chemicals Pvt Ltd,154.0,175.0,4.3,288.0,30.0,Acidum Nitricum,"Addresses problems related to pilesSoothes pain in the areaHelps with constipation problemsHelps with bleeding, non-bleeding, internal, external and blind haemorrhoidsSafe for consumption",Digestion
SBL Arnica Montana Dilution 200 CH,SBL Pvt Ltd,99.1,115.0,4.6,2278.0,30.0,The dilution can help reduce pain in the head,Reduces swelling and soreness in the injured areaRestricts bleeding around the injured areaIt is primarily used for the treatment of post-injury bruises and sores,ENT
Dr. Reckeweg R5 Stomach and Digestion Drop,Dr Reckeweg & Co,220.0,270.0,4.5,713.0,22.0,"Anacardium, Argentum nitricum, Arsenicum album, Belladona, Carbo vegetabilis, Chamomilla, Chelidonium, Lycopodium , Nux vom, Schrophularia nodosa, Alcohol","Helps relieve nausea and vomitingAlleviates pain in the abdomen and stomachImproves hyperacidity, constipation and flatulenceUseful for relapsing gastritis",Eye Care
Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,Dr Reckeweg & Co,232.0,270.0,4.5,578.0,22.0,"Acidum Phosphoricum, Arsenicum Album, Lycopodium, Natrium Sulfuricum, Phaseolus Nanus, Secale Cornutum, Uranium Nitricum, Ethanol, Aqua, Alcohol","Aids in the management of diabetesHelps manage secondary symptoms of diabetesRelieves thirst, loss of appetite and agitationCan help with conditions related to the blood and glandular system",Diabetes
LDD Bioscience Mother Tincture Phytolacca Berry Q,LDD Bioscience Pvt Ltd,279.0,310.0,4.4,20.0,100.0,This formulation can help improve body metabolism and enhance the digestive system to aid in weight loss and reduce fat from the body,It can help with weight managementIt may improve metabolism and energy levelsIt might help reduce appetiteIt can soothe sore throat,Throat care
Dr Willmar Schwabe India Damiaplant Drop,Dr Willmar Schwabe India Pvt Ltd,274.0,425.0,4.0,718.0,30.0,It helps increase energy levels and elevate mood,Acts as a sexual health supplementHelps to overcome weakness and nervous depressionAids in strengthening the immune system,Mental wellness
Bakson Aller Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. Ltd.,189.0,215.0,4.5,655.0,75.0,"Bakson's Aller Aid Tablet helps relieve symptoms of allergies such as hay fever, hives, conjunctivitis and reactions to insect bites or stings","Aller Aid Tablets provide relief from hay feverNo side effects like drowsiness or disturbance in daily routineAller Aid Tablets are indicated for sinus congestionAller Aid tablets are helpful against runny nose, sneezing, watery eyesHelps relieve fever and body ache due to allergies",ENT
Dr. Reckeweg R71 Sciatica Drop,Dr Reckeweg & Co,225.0,270.0,4.5,658.0,22.0,"Magnesium phosphoricum helps relieve nocturnal pain, ameliorated by warm applications and pressure","It is used to manage sciatica-related ailmentsIt relieves muscle contraction and neuralgic pains and crampsIt helps relieve nocturnal pain, ameliorated by warm applications and pressure",Joint
Medisynth Wartex Forte Drop,Medisynth Chemicals Pvt Ltd,154.0,175.0,4.2,119.0,30.0,Causticum,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
SBL Kali Phosphoricum Biochemic Tablet 6X,SBL Pvt Ltd,94.1,110.0,4.6,1248.0,25.0,,"Relieves muscle weakness, anxiety, depression and chronic fatigueIncreases stamina both physically and mentallyHelps to increase the blood flow during mensesHelps in recovering severe skin conditions and irritations",Joint
SBL Arsenicum Album Dilution 30 CH,SBL Pvt Ltd,88.0,100.0,4.6,1276.0,30.0,,"Helps in treating the increased temperature with marked periodicityProvides support in difficult, suffocating, and wheezing respiration with dry cough and spitting of blood with sputumUseful in treating respiratory ailments such as breathing issues",Fever
LDD Bioscience Hydrastis Canadensis Mother Tincture Q,LDD Bioscience Pvt Ltd,477.0,550.0,4.2,43.0,100.0,,Product Highlights:Helps treat coryza and catarrhEases menstruation and ear painsGives relief from ulcers and eczemaEffective in improving appetite,ENT
SBL Tonicard Gold Drop Homeopathic Medicine,SBL Pvt Ltd,310.0,425.0,4.7,816.0,100.0,,"It is a cardiac tonic that tones up heart musclesIt improves the overall physiological functions of the cardiovascular systemIt acts on the heart, increasing the systole and diminishing the rapidityIt protects against potential heart problems",ENT
Dr. Reckeweg R42 Varicosis Drop,Dr Reckeweg & Co,233.0,270.0,4.4,521.0,22.0,"Aesculus, Calcium fluoratum, Carduus marianus, Hamamelis, Mezereum, Placenta, Pulsatella, Secale cornutum, Vipera berus, alcohol","Helps relieve venous stasis, varicosis and varicose ailmentsHelps with inflammation and choking of the veinsBeneficial for eczema on the lower thighsPrevents eruptions in the vesicles",Skin care
Dr. Reckeweg R11 Rheumatism Drop,Dr Reckeweg & Co,220.0,270.0,4.5,506.0,22.0,"Berberis, Calcium phosphoricum, Causticum Hahnemanni, Rhododendron, Rhus toxicodendron",Helps reduce joint painAids in relieving pain in the musclesProvides relief in rheumatic issues,Joint
Medisynth Aqui Folium Cream,Medisynth Chemicals Pvt Ltd,100.0,100.0,4.5,91.0,20.0,Berberis aquifolium extract,Prevents acne and pimplesReduces dark spotsMakes the skin soft and supple,Skin care
Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,194.0,220.0,4.3,854.0,30.0,It helps improve mood and energy levels,"Helps to relieve itchy scalp and severe headaches


Controls the eruption of pimples


Soothes itchy and burning sensation in the eyes


Supports skin health and improves its appearance",ENT
Dr. Reckeweg R7 Liver and Gallbladder Drop,Dr Reckeweg & Co,232.0,270.0,4.5,551.0,22.0,"Carduus marianus, Chelidonium, Cholesterinum, Colocynthis, Lycopodium, Nux vomica",Helps ease liver ailments and improves liver functionProvides relief from flatulence and constipationHelps with liver enlargement and constrictionImproves lack of appetite and abdominal pain,Digestion
SBL Nux Vomica Dilution 200 CH,SBL Pvt Ltd,101.0,115.0,4.6,2530.0,30.0,Helps improve mood swings and anger,"Useful for irritability, nausea, and vomiting


Provides relief in case of severe headaches and irritation in the eyes


Facilitates aid in case of flu, mouth ulcers, and tooth sensitivity",Eye Care
Medisynth Witch Hazel Cream,Medisynth Chemicals Pvt Ltd,100.0,100.0,4.5,86.0,20.0,Hamamelis virginica,Prevents veinous congestionReduces dark spotsPrevents blood vessels from getting damaged,Skin care
Dr. Reckeweg R9 Cough Drop,Dr Reckeweg & Co,233.0,270.0,4.6,465.0,22.0,"Belladonna, Bryonia, Coccus cacti, Corallium rubrum, Cuprum aceticum, Drosera",Helps improve fits of coughingPrevents mucus buildup and accumulationRelieves violent attack of convulsive coughUseful for hoarseness and harsh and dry cough,Fever
SBL Berberis Aquifolium Gel,SBL Pvt Ltd,63.7,75.0,4.3,902.0,25.0,Berberisaquifolium,"Helps with eczema


Aids in reducing dark cycles


Helps to lighten complexion",Skin care
Bakson's Magnesium Phosphoricum Biochemic Tablet 6X,Bakson's Homeopathy,634.0,720.0,4.7,58.0,4500.0,,Manages cramps and sciaticaAssists in nervous phenomenaManages all maladies having their origin in nerve cells,Mental wellness
Medisynth Wartex Pills,Medisynth Chemicals Pvt Ltd,110.0,125.0,4.2,56.0,25.0,,"Safe, effective and painless medication for warts and cornsBeneficial in treating benign epithelial tumorsDoes not leave any mark or scar on the skinReduces tendency to wart formation",Skin care
Bakson Throat Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. Ltd.,181.0,215.0,4.5,531.0,75.0,,"Bakson Throat Aid tablets effectively manage sore throat, hoarseness and loss of voiceThe product helps to provide relief from throat inflammationThroat Aid tablets provide relief from the dryness of the throat, cough and cold, swallowing, dry suffocative cough, sneezingProvides relief from tickling cough, running nose, marked exhaustion, headache and fever",ENT
SBL Jaborandi Mother Tincture Q,SBL Pvt Ltd,120.0,150.0,4.4,669.0,30.0,Helpful for hair fall and its associated conditions,"Helps to reduce hair lossHelps to nourish the hair folliclesHelps to counter premature greying of hair and baldnessProvides relief in case of sleeping disordersUseful in case of Thyroid, Goitre, and Diarrhoea",Hair care
SBL Homeocal Tablet,SBL Pvt Ltd,145.0,165.0,4.6,524.0,25.0,Calcerea carbonica 3x,Safe to use formulation for osteoporosisHelps reduce joint pain and backacheAids in improving metabolismHelps maintain hormonal imbalance,Joint
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,151.0,170.0,4.4,195.0,200.0,,"Improves digestionIncreases appetiteEffective in jaundice, gallstones and liver complications",Digestion
SBL Chelidonium Majus Mother Tincture Q,SBL Pvt Ltd,132.0,150.0,4.6,779.0,30.0,"Helps in relieving pain and inflammation in the eyes, and nausea and vomiting","Useful in pneumonia, jaundice, gallstones, and other liver complaintsHelps protect the liver and spleenPossesses anti-inflammatory properties",Liver
SBL Prostonum Drop,SBL Pvt Ltd,138.0,170.0,4.5,785.0,30.0,It helps overcome problems of enlarged prostate and Benign Hypertrophy of Prostate (BHP),It helps in enlarged prostate and prevents mild to severe urinary disturbances in menIt helps control frequent urination and urgency leakage or dribblingIt provides relief in cases of burning sensation while urinatingIt helps in the retention of urine due to prostate enlargement,kidney
Dr. Reckeweg Ginkgo Biloba Mother Tincture Q,Dr Reckeweg & Co,314.0,365.0,4.5,87.0,20.0,,"Helps with depressed moods and absent-mindedness


Enhances memory and brain function


Improves blood flow",Mental wellness
Dr. Reckeweg Caladium Seg Dilution 1000 CH,Dr Reckeweg & Co,190.0,195.0,4.1,313.0,11.0,,"Relieves swelling and itching?ÿ


Useful for stomach and lung disorders


Alleviates headaches, nausea and exhaustion


Relieves oppression and congestion in the chest",Eye Care
Medisynth Pilen Forte Drop,Medisynth Chemicals Pvt Ltd,154.0,175.0,4.3,289.0,30.0,Acidum Nitricum,"Addresses problems related to pilesSoothes pain in the areaHelps with constipation problemsHelps with bleeding, non-bleeding, internal, external and blind haemorrhoidsSafe for consumption",Digestion
SBL Blatta Orientalis Mother Tincture Q,SBL Pvt Ltd,132.0,150.0,4.5,208.0,30.0,Triturated live insects,"Reduces breathing-related concerns


Effective in managing severe cough and lung infection


Remedy for concerns associated with asthma management",Fever
SBL Tonicard Gold Drop Homeopathic Medicine,SBL Pvt Ltd,180.0,205.0,4.7,808.0,30.0,,"It is a cardiac tonic that tones up heart musclesIt improves the overall physiological functions of the cardiovascular systemIt acts on the heart, increasing the systole and diminishing the rapidityIt protects against potential heart problems",ENT
SBL Thuja Occidentalis Dilution 30 CH,SBL Pvt Ltd,90.0,100.0,4.4,1168.0,30.0,The dilution can help minimise warts and flat ulcers that appear on the corners of the mouth and lips,"Primarily used to treat viral warts; a small, fleshy bump on the skin or mucous membrane caused by human papillomavirusHelps in treating and preventing juvenile acne caused by inflammation of the hair folliclesHelps in fighting skin disorders like eczema, rash and seborrheic dermatitisIt is useful in chronic conditions and prevents health conditions",Hair care
ADEL 79 Ferrodona Tonic,Adel Pekana Germany,860.0,860.0,4.7,61.0,250.0,Arsenicum album,"It is vital for growth and developmentlt regulates the quality of the bloodHelps to transport oxygen throughout the bodyMaintains red blood cells, thus making an individual feel energetic",Health supplement
Dr Willmar Schwabe India Rauwolfia Serpentina Tablet 1X,Dr Willmar Schwabe India Pvt Ltd,154.0,175.0,4.6,149.0,20.0,Rauvolfia Serpentina,"Helps regulate blood pressure levelsHelps manage nervousness, restlessness and dizzinessAids in relieving stress and anxietyHelps manage menstrual pain",Diabetes
Dr Willmar Schwabe India Terminalia Arjuna Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,86.1,110.0,4.6,183.0,30.0,,Improves blood circulation to the heart and also strengthens the cardiac musclesHelps to reduce chest pain and palpitationsExerts diuretic action and reduces oedemaEffectively manage pulmonary congestion and reduces breathlessnessHelps to manage lipid levels in the body,ENT
ADEL 36 Pollon Drop,Adel Pekana Germany,260.0,295.0,4.3,183.0,20.0,,Stimulates the blood circulation in the groin and lowers the blood pressureUseful in nervous weakness resulting from long-continued sexual aberrationsReduces nightly emissions and controls conditions leading to premature ejaculationSmoothes muscles of the blood vessels provides more blood supply to the sexual organ,Joint
SBL Bio-Combination 28 Tablet,SBL Pvt Ltd,98.0,110.0,4.5,305.0,25.0,Builds up entire system by providing necessary tissue nutrition's to the body,"It improves the mental power, brain and nerve tissuesIt maintains and keeps mucus membrane and kidney healthyIt relieves all types of spasmodic pains related to nerves and heart",ENT
Medisynth Wartex Cream,Medisynth Chemicals Pvt Ltd,89.0,100.0,4.0,285.0,20.0,,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
SBL Baptisia Tinctoria Mother Tincture Q,SBL Pvt Ltd,246.0,280.0,4.5,83.0,30.0,,"Effective for high fever, malarial poisoning and influenza


Useful for thyroid fever


Helpful in diarrhoea and flatulence",Fever
SBL Sepia Dilution 30 CH,SBL Pvt Ltd,88.0,100.0,4.5,416.0,30.0,,Beneficial for managing concerns associated with menopauseRelieves fatigue and manages nutritional imbalancesSafe to use with no reported side effects,Health supplement
Dr. Reckeweg Crataegus Mother Tincture Q,Dr Reckeweg & Co,230.0,255.0,4.7,152.0,20.0,,Regulates blood pressureHelps in reducing pain in the headRelieves joint pains,Joint
SBL Allium Sativum Mother Tincture Q,SBL Pvt Ltd,94.0,105.0,4.7,249.0,30.0,,"Relieves abdominal pain and constipation


Helps reduce mucus formation and acidity


Relieves cough, chest pain, and cold air sensitiveness",Digestion
Dr. Reckeweg R54 Memory Drop,Dr Reckeweg & Co,238.0,270.0,4.6,120.0,22.0,Anacardium,It helps in managing symptoms of cerebral anaemiaIt aids in strengthening memoryIt relieves cerebral congestion,Mental wellness
Dr. Reckeweg R57 Pulmonary Tonic,Dr Reckeweg & Co,232.0,270.0,4.6,119.0,22.0,,It helps in detoxifying the liverIt helps in stimulating appetiteIt reduces susceptibility to tuberculosis,Liver
Dr. Reckeweg Aconitum Napellus Dilution 200 CH,Dr Reckeweg & Co,138.0,160.0,4.7,516.0,11.0,Extract of the plant monkshood,Helps in relieving heaviness and burning headacheUseful in fighting physical and mental exhaustionReduces inflammation and irritation in the eyes,Eye Care
Dr. Reckeweg R46 Rheumatism Of Forearms And Hands Drop,Dr Reckeweg & Co,220.0,270.0,4.6,120.0,22.0,,It helps reduce joint inflammationIt aids in the treatment of ArthritisIt prevents swelling and pain in joints and bones,Joint
Dr. Reckeweg R81 Analgesic Drop,Dr Reckeweg & Co,235.0,270.0,4.6,205.0,22.0,,Helps relieve neuralgic painAids in reducing headachesSoothes painful menstrual disorder,Fever
SBL Ipecacuanha Dilution 30 CH,SBL Pvt Ltd,86.0,100.0,4.6,302.0,30.0,Tincture and trituration of the dried root i.e is Ipecac Root,Effective for nausea and vomitingRelieves cough and chest constrictionHelpful in case of amoebic dysenteryAlleviates hoarseness,Eye Care
SBL Kali Phosphoricum Biochemic Tablet 12X,SBL Pvt Ltd,97.0,110.0,4.6,1253.0,25.0,,"Relieves muscle weakness, anxiety, depression and chronic fatigueIncreases stamina both physically and mentallyHelps to increase the blood flow during mensesHelps in recovering severe skin conditions and irritations",Joint
Dr. Reckeweg Damiana Mother Tincture Q,Dr Reckeweg & Co,224.0,255.0,4.4,182.0,20.0,Damiana mother tincture Q is primarily used for the management of sexual health in men,Restores lost vigour and vitalityHelps regulate menses in womenImproves your digestive health,Health supplement
Similia Moringa Oleifera Mother Tincture Q,Similia Homoeo Laboratory,163.0,180.0,4.6,95.0,30.0,,Moringa lowers cholesterol levels by increasing good cholesterol in the bodyIt protects the liver against damage due to its antioxidant and anti-inflammatory propertiesIt is also good for diabetes as it helps lower blood sugar levelsIt is beneficial for men as it has aphrodisiac properties,Diabetes
Dr. Reckeweg Rauwolfia Serp Mother Tincture Q,Dr Reckeweg & Co,292.0,335.0,4.7,78.0,20.0,,"Helps maintain blood pressure levels


Calms the nervous system


Works as a sleep aid


Useful for mood swings and aggression",Diabetes
Bakson's Magnesium Phosphoricum Biochemic Tablet 6X,Bakson's Homeopathy,106.0,120.0,4.7,58.0,250.0,,Manages cramps and sciaticaAssists in nervous phenomenaManages all maladies having their origin in nerve cells,Mental wellness
SBL Andrographis Paniculata Mother Tincture Q,SBL Pvt Ltd,92.4,105.0,4.6,193.0,30.0,Helpful in chronic fevers and helps in boosting immunity system,Helpful in feverDeals with various liver and gut disordersRelieves sore throatBoosts the immune system,Throat care
SBL Fraxinus Americana Mother Tincture Q,SBL Pvt Ltd,284.0,330.0,4.4,76.0,30.0,,"Cramps in the feet with hot flashes are effectively recovered with the help of Fraxinus AmericanaUsed in the cases of enlargement of the uterus, fibrous growths, subinvolution and prolapseBeneficial for treating uterine tumours, with bearing-down sensations",ENT
Allen A15 Indigestion Gas & Acidity Drop,Allen Homoeo & Herbal Products Ltd,144.0,170.0,4.3,138.0,30.0,Nux vomica 3x 1.00 ml,Improves the digestive processEliminates acidityImproves appetiteSoothes the discomfort caused by indigestionSafe for consumption,Digestion
SBL Bio-Combination 4 Tablet,SBL Pvt Ltd,94.1,110.0,4.5,185.0,25.0,Calcarea Fluorica HPI,It helps to get relief from constipationIt helps with improper intestinal fluidIt improves gut health and well-being of the body,Digestion
SBL Robinia Pseudacacia Dilution 30 CH,SBL Pvt Ltd,85.4,100.0,4.5,358.0,30.0,,"Manages hyperacidity and related ailments


Relieves symptoms like loss of appetite and nausea


Assists with digestion, acidity, and gas",Eye Care
SBL Conium Maculatum Dilution 200 CH,SBL Pvt Ltd,98.8,115.0,4.4,321.0,30.0,,Supports male reproductive healthManages stomach-related concernsAlleviates inflammation and pain in glands,Digestion
SBL Acid Nitricum Dilution 30 CH,SBL Pvt Ltd,88.0,100.0,4.6,344.0,30.0,,Potent remedy for headache and intermittent feverActs as a laxative to deal with constipation Useful for respiratory tract ailmentsHelpful in cases of haemorrhoids,Digestion
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,151.0,170.0,4.4,196.0,200.0,,"Improves digestionIncreases appetiteEffective in jaundice, gallstones and liver complications",Digestion
SBL Ruta Graveolens Dilution 30 CH,SBL Pvt Ltd,88.0,100.0,4.6,660.0,30.0,,"Manages concerns associated with arthritic and rheumatic pains


Relieves sprain in ankles, knees, feet and lower back


Reduces pain in muscles, joints and bones


Safe to use with no side effects",Joint
SBL Azadirachta Indica Mother Tincture Q,SBL Pvt Ltd,95.0,105.0,4.6,165.0,30.0,,"Helps reduce baldness


Soothes irritated skin and manages insect bites


Supports blood purification and blood flow


Reduces gum diseases


Helps manage scabies and skin blisters",Skin care
SBL Tonsilat Tablet,SBL Pvt Ltd,145.0,165.0,4.6,188.0,25.0,Mercurius iodatus ruber HPI,It can help to condition tonsilsIt provides relief from sore throatIt can prevent pharyngitis,Throat care
Dr. Reckeweg Carica Papaya Mother Tincture Q,Dr Reckeweg & Co,295.0,335.0,4.7,35.0,20.0,,"Effective for various gut disorders


Boosts immunity


Alleviates gum and teeth problems


Relieves rheumatic and arthritic pains


Useful for urinary issues",Dental care
SBL Silicea Dilution 30 CH,SBL Pvt Ltd,90.0,100.0,4.5,551.0,30.0,Silicea helps to take care of imperfect assimilation,"A homeopathy solution, safe for consumptionBeneficial for bone healthCaters to problems relating to stoolSoothes sciatic pain",Joint
SBL Nuphar Lutea Mother Tincture Q,SBL Pvt Ltd,290.0,330.0,4.2,102.0,30.0,,Keeps you energized and reduces fatigueHelps with skin conditionsCurtails diarrhoeaSoothes inflammationMay help with sexual health of men,Skin care
SBL Abroma Augusta Mother Tincture Q,SBL Pvt Ltd,90.0,105.0,4.6,229.0,30.0,,"Effective for diabetes induced bodily weakness and exhaustionUseful for eye, gut and urinary ailmentsRelieves headache and migrainePotent remedy for coryza and fever",Eye Care
Bakson B22 Sinus Drop,Bakson's Homeopathy,160.0,185.0,4.5,172.0,30.0,Arsenicum album,"B22 drops help relieve symptoms such as frequent sneezing, and a stuffy noseThe B22 drops relieve thick/watery nasal dischargeBakson B22 Drops help in relieving acute and chronic catarrh of the noseThe ideal dosage is 10 drops in lukewarm water three times a day",ENT
Bakson Wart Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. Ltd.,185.0,215.0,4.0,37.0,75.0,Thuja occidentalis 2x,"Potent homoeopathic medicine for warts


Effective against corns


Taken orally, easy-to-swallow tablets


Safe and effective for long-term use",Joint
Dr. Reckeweg Bacopa Monnieri (Brahmi) Mother Tincture Q,Dr Reckeweg & Co,224.0,255.0,4.4,138.0,20.0,,"Helps enhance memory and concentration


Helps fight stress


Provides relief from joint and back pain


Does not cause side effects",Joint
ADEL 44 Venorbis Drop,Adel Pekana Germany,260.0,295.0,4.6,99.0,20.0,,Removes the result of a restricted blood flowSmoothes down heart attacks and effortless kinds of oedemaActs against sceptic blood positions in the venous vessels and saves the bodyStands against thrombotic states and thrombophlebitis for long times,ENT
