name,brand_name,price_of_the_bottle,mrp_of_the_bottle,rating,number_of_rating,size_of_the_bottle,key_ingredients,key_benifits,category
Dr. Reckeweg R5 Stomach and Digestion Drop,Dr Reckeweg & Co,ƒ??220,ƒ??270,4.5,713 Ratings,22 ml Drop,"Anacardium, Argentum nitricum, Arsenicum album, Belladona, Carbo vegetabilis, Chamomilla, Chelidonium, Lycopodium , Nux vom, Schrophularia nodosa, Alcohol","Helps relieve nausea and vomitingAlleviates pain in the abdomen and stomachImproves hyperacidity, constipation and flatulenceUseful for relapsing gastritis",Eye Care
Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,Dr Reckeweg & Co,ƒ??232,ƒ??270,4.5,578 Ratings,22 ml Drop,"Acidum Phosphoricum, Arsenicum Album, Lycopodium, Natrium Sulfuricum, Phaseolus Nanus, Secale Cornutum, Uranium Nitricum, Ethanol, Aqua, Alcohol","Aids in the management of diabetesHelps manage secondary symptoms of diabetesRelieves thirst, loss of appetite and agitationCan help with conditions related to the blood and glandular system",Diabetes
LDD Bioscience Mother Tincture Phytolacca Berry Q,LDD Bioscience Pvt Ltd,ƒ??279,ƒ??310,4.4,20 Ratings,100 ml Mother Tincture,This formulation can help improve body metabolism and enhance the digestive system to aid in weight loss and reduce fat from the body,It can help with weight managementIt may improve metabolism and energy levelsIt might help reduce appetiteIt can soothe sore throat,Throat care
Dr Willmar Schwabe India Damiaplant Drop,Dr Willmar Schwabe India Pvt Ltd,ƒ??274,ƒ??425,4,718 Ratings,30 ml Drop,It helps increase energy levels and elevate mood,Acts as a sexual health supplementHelps to overcome weakness and nervous depressionAids in strengthening the immune system,Mental wellness
Bakson Aller Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. Ltd.,ƒ??189,ƒ??215,4.5,655 Ratings,75 tablets,"Bakson's Aller Aid Tablet helps relieve symptoms of allergies such as hay fever, hives, conjunctivitis and reactions to insect bites or stings","Aller Aid Tablets provide relief from hay feverNo side effects like drowsiness or disturbance in daily routineAller Aid Tablets are indicated for sinus congestionAller Aid tablets are helpful against runny nose, sneezing, watery eyesHelps relieve fever and body ache due to allergies",ENT
Dr. Reckeweg R71 Sciatica Drop,Dr Reckeweg & Co,ƒ??225,ƒ??270,4.5,658 Ratings,22 ml Drop,"Magnesium phosphoricum helps relieve nocturnal pain, ameliorated by warm applications and pressure","It is used to manage sciatica-related ailmentsIt relieves muscle contraction and neuralgic pains and crampsIt helps relieve nocturnal pain, ameliorated by warm applications and pressure",Joint
Medisynth Wartex Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.2,119 Ratings,30 ml Drop,Causticum,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
SBL Kali Phosphoricum Biochemic Tablet 6X,SBL Pvt Ltd,ƒ??94.1,ƒ??110,4.6,1248 Ratings,25 gm Biochemic Tablet,,"Relieves muscle weakness, anxiety, depression and chronic fatigueIncreases stamina both physically and mentallyHelps to increase the blood flow during mensesHelps in recovering severe skin conditions and irritations",Joint
SBL Arsenicum Album Dilution 30 CH,SBL Pvt Ltd,ƒ??88,ƒ??100,4.6,1276 Ratings,30 ml Dilution,,"Helps in treating the increased temperature with marked periodicityProvides support in difficult, suffocating, and wheezing respiration with dry cough and spitting of blood with sputumUseful in treating respiratory ailments such as breathing issues",Fever
LDD Bioscience Hydrastis Canadensis Mother Tincture Q,LDD Bioscience Pvt Ltd,ƒ??477,ƒ??550,4.2,43 Ratings,100 ml Mother Tincture,,Product Highlights:Helps treat coryza and catarrhEases menstruation and ear painsGives relief from ulcers and eczemaEffective in improving appetite,ENT
SBL Tonicard Gold Drop Homeopathic Medicine,SBL Pvt Ltd,ƒ??310,ƒ??425,4.7,816 Ratings,100 ml Drop,,"It is a cardiac tonic that tones up heart musclesIt improves the overall physiological functions of the cardiovascular systemIt acts on the heart, increasing the systole and diminishing the rapidityIt protects against potential heart problems",ENT
Dr. Reckeweg R42 Varicosis Drop,Dr Reckeweg & Co,ƒ??233,ƒ??270,4.4,521 Ratings,22 ml Drop,"Aesculus, Calcium fluoratum, Carduus marianus, Hamamelis, Mezereum, Placenta, Pulsatella, Secale cornutum, Vipera berus, alcohol","Helps relieve venous stasis, varicosis and varicose ailmentsHelps with inflammation and choking of the veinsBeneficial for eczema on the lower thighsPrevents eruptions in the vesicles",Skin care
Dr. Reckeweg R11 Rheumatism Drop,Dr Reckeweg & Co,ƒ??220,ƒ??270,4.5,506 Ratings,22 ml Drop,"Berberis, Calcium phosphoricum, Causticum Hahnemanni, Rhododendron, Rhus toxicodendron",Helps reduce joint painAids in relieving pain in the musclesProvides relief in rheumatic issues,Joint
Medisynth Aqui Folium Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,91 Ratings,20 gm Cream,Berberis aquifolium extract,Prevents acne and pimplesReduces dark spotsMakes the skin soft and supple,Skin care
Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,ƒ??194,ƒ??220,4.3,854 Ratings,30 ml Mother Tincture,It helps improve mood and energy levels,"Helps to relieve itchy scalp and severe headaches


Controls the eruption of pimples


Soothes itchy and burning sensation in the eyes


Supports skin health and improves its appearance",ENT
Dr. Reckeweg R7 Liver and Gallbladder Drop,Dr Reckeweg & Co,ƒ??232,ƒ??270,4.5,551 Ratings,22 ml Drop,"Carduus marianus, Chelidonium, Cholesterinum, Colocynthis, Lycopodium, Nux vomica",Helps ease liver ailments and improves liver functionProvides relief from flatulence and constipationHelps with liver enlargement and constrictionImproves lack of appetite and abdominal pain,Digestion
SBL Nux Vomica Dilution 200 CH,SBL Pvt Ltd,ƒ??101,ƒ??115,4.6,2530 Ratings,30 ml Dilution,Helps improve mood swings and anger,"Useful for irritability, nausea, and vomiting


Provides relief in case of severe headaches and irritation in the eyes


Facilitates aid in case of flu, mouth ulcers, and tooth sensitivity",Eye Care
Medisynth Witch Hazel Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,86 Ratings,20 gm Cream,Hamamelis virginica,Prevents veinous congestionReduces dark spotsPrevents blood vessels from getting damaged,Skin care
Dr. Reckeweg R9 Cough Drop,Dr Reckeweg & Co,ƒ??233,ƒ??270,4.6,465 Ratings,22 ml Drop,"Belladonna, Bryonia, Coccus cacti, Corallium rubrum, Cuprum aceticum, Drosera",Helps improve fits of coughingPrevents mucus buildup and accumulationRelieves violent attack of convulsive coughUseful for hoarseness and harsh and dry cough,Fever
SBL Berberis Aquifolium Gel,SBL Pvt Ltd,ƒ??63.7,ƒ??75,4.3,902 Ratings,25 gm Gel,Berberisaquifolium,"Helps with eczema


Aids in reducing dark cycles


Helps to lighten complexion",Skin care
Bakson's Magnesium Phosphoricum Biochemic Tablet 6X,Bakson's Homeopathy,ƒ??634,ƒ??720,4.7,58 Ratings,4500 biochemic tablets,,Manages cramps and sciaticaAssists in nervous phenomenaManages all maladies having their origin in nerve cells,Mental wellness
Medisynth Wartex Pills,Medisynth Chemicals Pvt Ltd,ƒ??110,ƒ??125,4.2,56 Ratings,25 gm Tablet,,"Safe, effective and painless medication for warts and cornsBeneficial in treating benign epithelial tumorsDoes not leave any mark or scar on the skinReduces tendency to wart formation",Skin care
Bakson Throat Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. Ltd.,ƒ??181,ƒ??215,4.5,531 Ratings,75 tablets,,"Bakson Throat Aid tablets effectively manage sore throat, hoarseness and loss of voiceThe product helps to provide relief from throat inflammationThroat Aid tablets provide relief from the dryness of the throat, cough and cold, swallowing, dry suffocative cough, sneezingProvides relief from tickling cough, running nose, marked exhaustion, headache and fever",ENT
SBL Jaborandi Mother Tincture Q,SBL Pvt Ltd,ƒ??120,ƒ??150,4.4,669 Ratings,30 ml Mother Tincture,Helpful for hair fall and its associated conditions,"Helps to reduce hair lossHelps to nourish the hair folliclesHelps to counter premature greying of hair and baldnessProvides relief in case of sleeping disordersUseful in case of Thyroid, Goitre, and Diarrhoea",Hair care
SBL Homeocal Tablet,SBL Pvt Ltd,ƒ??145,ƒ??165,4.6,524 Ratings,25 gm Tablet,Calcerea carbonica 3x,Safe to use formulation for osteoporosisHelps reduce joint pain and backacheAids in improving metabolismHelps maintain hormonal imbalance,Joint
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,ƒ??151,ƒ??170,4.4,195 Ratings,200 ml Syrup,,"Improves digestionIncreases appetiteEffective in jaundice, gallstones and liver complications",Digestion
SBL Chelidonium Majus Mother Tincture Q,SBL Pvt Ltd,ƒ??132,ƒ??150,4.6,779 Ratings,30 ml Mother Tincture,"Helps in relieving pain and inflammation in the eyes, and nausea and vomiting","Useful in pneumonia, jaundice, gallstones, and other liver complaintsHelps protect the liver and spleenPossesses anti-inflammatory properties",Liver
SBL Prostonum Drop,SBL Pvt Ltd,ƒ??138,ƒ??170,4.5,785 Ratings,30 ml Drop,It helps overcome problems of enlarged prostate and Benign Hypertrophy of Prostate (BHP),It helps in enlarged prostate and prevents mild to severe urinary disturbances in menIt helps control frequent urination and urgency leakage or dribblingIt provides relief in cases of burning sensation while urinatingIt helps in the retention of urine due to prostate enlargement,kidney
Dr. Reckeweg Ginkgo Biloba Mother Tincture Q,Dr Reckeweg & Co,ƒ??314,ƒ??365,4.5,87 Ratings,20 ml Mother Tincture,,"Helps with depressed moods and absent-mindedness


Enhances memory and brain function


Improves blood flow",Mental wellness
Dr. Reckeweg Caladium Seg Dilution 1000 CH,Dr Reckeweg & Co,ƒ??190,ƒ??195,4.1,313 Ratings,11 ml Dilution,,"Relieves swelling and itching?ÿ


Useful for stomach and lung disorders


Alleviates headaches, nausea and exhaustion


Relieves oppression and congestion in the chest",Eye Care
Medisynth Pilen Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.3,289 Ratings,30 ml Drop,Acidum Nitricum,"Addresses problems related to pilesSoothes pain in the areaHelps with constipation problemsHelps with bleeding, non-bleeding, internal, external and blind haemorrhoidsSafe for consumption",Digestion
SBL Blatta Orientalis Mother Tincture Q,SBL Pvt Ltd,ƒ??132,ƒ??150,4.5,208 Ratings,30 ml Mother Tincture,Triturated live insects,"Reduces breathing-related concerns


Effective in managing severe cough and lung infection


Remedy for concerns associated with asthma management",Fever
SBL Tonicard Gold Drop Homeopathic Medicine,SBL Pvt Ltd,ƒ??180,ƒ??205,4.7,808 Ratings,30 ml Drop,,"It is a cardiac tonic that tones up heart musclesIt improves the overall physiological functions of the cardiovascular systemIt acts on the heart, increasing the systole and diminishing the rapidityIt protects against potential heart problems",ENT
LDD Bioscience Tone Max 5000 Drop,LDD Bioscience Pvt Ltd,ƒ??329,ƒ??370,,,30 ml Drop,Damiana,Improves and stimulates libido and increase vigourHas aphrodisiac properties and improves overall health,Health supplement
SBL Thuja Occidentalis Dilution 30 CH,SBL Pvt Ltd,ƒ??90,ƒ??100,4.4,1168 Ratings,30 ml Dilution,The dilution can help minimise warts and flat ulcers that appear on the corners of the mouth and lips,"Primarily used to treat viral warts; a small, fleshy bump on the skin or mucous membrane caused by human papillomavirusHelps in treating and preventing juvenile acne caused by inflammation of the hair folliclesHelps in fighting skin disorders like eczema, rash and seborrheic dermatitisIt is useful in chronic conditions and prevents health conditions",Hair care
ADEL 79 Ferrodona Tonic,Adel Pekana Germany,ƒ??860,,4.7,61 Ratings,250 ml Tonic,Arsenicum album,"It is vital for growth and developmentlt regulates the quality of the bloodHelps to transport oxygen throughout the bodyMaintains red blood cells, thus making an individual feel energetic",Health supplement
Dr Willmar Schwabe India Rauwolfia Serpentina Tablet 1X,Dr Willmar Schwabe India Pvt Ltd,ƒ??154,ƒ??175,4.6,149 Ratings,20 gm Tablet,Rauvolfia Serpentina,"Helps regulate blood pressure levelsHelps manage nervousness, restlessness and dizzinessAids in relieving stress and anxietyHelps manage menstrual pain",Diabetes
Wheezal WL58 Dengue Drop,Wheezal Homeo Pharma,ƒ??171,ƒ??175,,,30 ml Drop,,Helps in quick recovery in case of dengue attackHelps in relieving the symptoms of dengue disease,Fever
Dr Willmar Schwabe India Terminalia Arjuna Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,ƒ??86.1,ƒ??110,4.6,183 Ratings,30 ml Mother Tincture,,Improves blood circulation to the heart and also strengthens the cardiac musclesHelps to reduce chest pain and palpitationsExerts diuretic action and reduces oedemaEffectively manage pulmonary congestion and reduces breathlessnessHelps to manage lipid levels in the body,ENT
ADEL 36 Pollon Drop,Adel Pekana Germany,ƒ??260,ƒ??295,4.3,183 Ratings,20 ml Drop,,Stimulates the blood circulation in the groin and lowers the blood pressureUseful in nervous weakness resulting from long-continued sexual aberrationsReduces nightly emissions and controls conditions leading to premature ejaculationSmoothes muscles of the blood vessels provides more blood supply to the sexual organ,Joint
SBL Bio-Combination 28 Tablet,SBL Pvt Ltd,ƒ??98,ƒ??110,4.5,305 Ratings,25 gm Biocombination Tablet,Builds up entire system by providing necessary tissue nutrition's to the body,"It improves the mental power, brain and nerve tissuesIt maintains and keeps mucus membrane and kidney healthyIt relieves all types of spasmodic pains related to nerves and heart",ENT
Medisynth Wartex Cream,Medisynth Chemicals Pvt Ltd,ƒ??89,ƒ??100,4,285 Ratings,20 gm Cream,,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
SBL Baptisia Tinctoria Mother Tincture Q,SBL Pvt Ltd,ƒ??246,ƒ??280,4.5,83 Ratings,30 ml Mother Tincture,,"Effective for high fever, malarial poisoning and influenza


Useful for thyroid fever


Helpful in diarrhoea and flatulence",Fever
SBL Sepia Dilution 30 CH,SBL Pvt Ltd,ƒ??88,ƒ??100,4.5,416 Ratings,30 ml Dilution,,Beneficial for managing concerns associated with menopauseRelieves fatigue and manages nutritional imbalancesSafe to use with no reported side effects,Health supplement
LDD Bioscience Tone-Max Syrup,LDD Bioscience Pvt Ltd,ƒ??182,ƒ??200,,,180 ml Syrup,,"Treats general debility, nervous exhaustion, impotence, and issues with dischargeHelps relieve pain due to an enlarged prostate, swollen and tender testicles, or in pelvic areasCan be useful as a restorative tonic in conditions of fatigue",Mental wellness
Dr. Reckeweg Crataegus Mother Tincture Q,Dr Reckeweg & Co,ƒ??230,ƒ??255,4.7,152 Ratings,20 ml Mother Tincture,,Regulates blood pressureHelps in reducing pain in the headRelieves joint pains,Joint
SBL Allium Sativum Mother Tincture Q,SBL Pvt Ltd,ƒ??94,ƒ??105,4.7,249 Ratings,30 ml Mother Tincture,,"Relieves abdominal pain and constipation


Helps reduce mucus formation and acidity


Relieves cough, chest pain, and cold air sensitiveness",Digestion
Dr. Reckeweg R54 Memory Drop,Dr Reckeweg & Co,ƒ??238,ƒ??270,4.6,120 Ratings,22 ml Drop,Anacardium,It helps in managing symptoms of cerebral anaemiaIt aids in strengthening memoryIt relieves cerebral congestion,Mental wellness
Medisynth Wartex Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.2,119 Ratings,30 ml Drop,Causticum,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
Dr. Reckeweg R57 Pulmonary Tonic,Dr Reckeweg & Co,ƒ??232,ƒ??270,4.6,119 Ratings,22 ml Tonic,,It helps in detoxifying the liverIt helps in stimulating appetiteIt reduces susceptibility to tuberculosis,Liver
Dr. Reckeweg Aconitum Napellus Dilution 200 CH,Dr Reckeweg & Co,ƒ??138,ƒ??160,4.7,516 Ratings,11 ml Dilution,Extract of the plant monkshood,Helps in relieving heaviness and burning headacheUseful in fighting physical and mental exhaustionReduces inflammation and irritation in the eyes,Eye Care
Dr. Reckeweg R46 Rheumatism Of Forearms And Hands Drop,Dr Reckeweg & Co,ƒ??220,ƒ??270,4.6,120 Ratings,22 ml Drop,,It helps reduce joint inflammationIt aids in the treatment of ArthritisIt prevents swelling and pain in joints and bones,Joint
LDD Bioscience Mother Tincture Phytolacca Berry Q,LDD Bioscience Pvt Ltd,ƒ??279,ƒ??310,4.4,20 Ratings,100 ml Mother Tincture,This formulation can help improve body metabolism and enhance the digestive system to aid in weight loss and reduce fat from the body,It can help with weight managementIt may improve metabolism and energy levelsIt might help reduce appetiteIt can soothe sore throat,Throat care
Dr. Reckeweg R81 Analgesic Drop,Dr Reckeweg & Co,ƒ??235,ƒ??270,4.6,205 Ratings,22 ml Drop,,Helps relieve neuralgic painAids in reducing headachesSoothes painful menstrual disorder,Fever
SBL Ipecacuanha Dilution 30 CH,SBL Pvt Ltd,ƒ??86,ƒ??100,4.6,302 Ratings,30 ml Dilution,Tincture and trituration of the dried root i.e is Ipecac Root,Effective for nausea and vomitingRelieves cough and chest constrictionHelpful in case of amoebic dysenteryAlleviates hoarseness,Eye Care
SBL Kali Phosphoricum Biochemic Tablet 12X,SBL Pvt Ltd,ƒ??97,ƒ??110,4.6,1253 Ratings,25 gm Biochemic Tablet,,"Relieves muscle weakness, anxiety, depression and chronic fatigueIncreases stamina both physically and mentallyHelps to increase the blood flow during mensesHelps in recovering severe skin conditions and irritations",Joint
Medisynth Gasgan Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.4,149 Ratings,30 ml Drop,Carbo vegetabilis,Relieves stomach aches and gastric disordersPrevents constipationImproves digestion,Digestion
Dr. Reckeweg Damiana Mother Tincture Q,Dr Reckeweg & Co,ƒ??224,ƒ??255,4.4,182 Ratings,20 ml Mother Tincture,Damiana mother tincture Q is primarily used for the management of sexual health in men,Restores lost vigour and vitalityHelps regulate menses in womenImproves your digestive health,Health supplement
Similia Moringa Oleifera Mother Tincture Q,Similia Homoeo Laboratory,ƒ??163,ƒ??180,4.6,95 Ratings,30 ml Mother Tincture,,Moringa lowers cholesterol levels by increasing good cholesterol in the bodyIt protects the liver against damage due to its antioxidant and anti-inflammatory propertiesIt is also good for diabetes as it helps lower blood sugar levelsIt is beneficial for men as it has aphrodisiac properties,Diabetes
LDD Bioscience Hydrastis Canadensis Mother Tincture Q,LDD Bioscience Pvt Ltd,ƒ??477,ƒ??550,4.2,43 Ratings,100 ml Mother Tincture,,Product Highlights:Helps treat coryza and catarrhEases menstruation and ear painsGives relief from ulcers and eczemaEffective in improving appetite,ENT
Dr. Reckeweg Rauwolfia Serp Mother Tincture Q,Dr Reckeweg & Co,ƒ??292,ƒ??335,4.7,78 Ratings,20 ml Mother Tincture,,"Helps maintain blood pressure levels


Calms the nervous system


Works as a sleep aid


Useful for mood swings and aggression",Diabetes
Bakson's Magnesium Phosphoricum Biochemic Tablet 6X,Bakson's Homeopathy,ƒ??106,ƒ??120,4.7,58 Ratings,250 biochemic tablets,,Manages cramps and sciaticaAssists in nervous phenomenaManages all maladies having their origin in nerve cells,Mental wellness
SBL Andrographis Paniculata Mother Tincture Q,SBL Pvt Ltd,ƒ??92.4,ƒ??105,4.6,193 Ratings,30 ml Mother Tincture,Helpful in chronic fevers and helps in boosting immunity system,Helpful in feverDeals with various liver and gut disordersRelieves sore throatBoosts the immune system,Throat care
Medisynth Aqui Folium Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,91 Ratings,20 gm Cream,Berberis aquifolium extract,Prevents acne and pimplesReduces dark spotsMakes the skin soft and supple,Skin care
